,open,high,low,close,volume,symbol,extraction_time
2025-12-03 15:35:00,303.17,303.79,303.06,303.685,281580,IBM,2025-12-04 20:16:22.002055
2025-12-03 15:40:00,303.685,303.86,303.64,303.73,38817,IBM,2025-12-04 20:16:22.002055
2025-12-03 15:45:00,303.745,303.84,303.435,303.5,50830,IBM,2025-12-04 20:16:22.002055
2025-12-03 15:50:00,303.53,303.59,302.85,303.0,98874,IBM,2025-12-04 20:16:22.002055
2025-12-03 15:55:00,302.95,303.19,302.75,302.83,300489,IBM,2025-12-04 20:16:22.002055
2025-12-03 16:00:00,302.92,303.24,302.5,302.62,1708568,IBM,2025-12-04 20:16:22.002055
2025-12-03 16:05:00,302.62,302.62,302.5,302.5,207,IBM,2025-12-04 20:16:22.002055
2025-12-03 16:10:00,302.62,302.62,302.53,302.62,724201,IBM,2025-12-04 20:16:22.002055
2025-12-03 16:15:00,302.62,302.62,302.62,302.62,6,IBM,2025-12-04 20:16:22.002055
2025-12-03 16:20:00,302.62,302.63,302.62,302.63,3,IBM,2025-12-04 20:16:22.002055
2025-12-03 16:25:00,303.47,303.47,303.19,303.2,20,IBM,2025-12-04 20:16:22.002055
2025-12-03 16:30:00,303.2,303.2,302.62,302.62,62,IBM,2025-12-04 20:16:22.002055
2025-12-03 16:35:00,302.0312,302.68,302.0312,302.5,170,IBM,2025-12-04 20:16:22.002055
2025-12-03 16:40:00,302.62,302.62,302.55,302.62,146,IBM,2025-12-04 20:16:22.002055
2025-12-03 16:45:00,302.62,302.6799,302.5,302.5,36207,IBM,2025-12-04 20:16:22.002055
2025-12-03 16:55:00,302.59,302.6,302.57,302.57,22,IBM,2025-12-04 20:16:22.002055
2025-12-03 17:00:00,302.61,302.62,302.59,302.62,5,IBM,2025-12-04 20:16:22.002055
2025-12-03 17:05:00,302.6,302.61,302.6,302.61,5,IBM,2025-12-04 20:16:22.002055
2025-12-03 17:10:00,302.54,302.68,302.54,302.68,36,IBM,2025-12-04 20:16:22.002055
2025-12-03 17:15:00,302.51,302.56,302.51,302.55,9,IBM,2025-12-04 20:16:22.002055
