,open,high,low,close,volume,symbol,extraction_time,close_lag_1,volume_lag_1,close_lag_2,volume_lag_2,close_lag_3,volume_lag_3,close_lag_5,volume_lag_5,close_lag_10,volume_lag_10,close_rolling_mean_5,close_rolling_std_5,volume_rolling_mean_5,close_rolling_mean_10,close_rolling_std_10,volume_rolling_mean_10,close_rolling_mean_20,close_rolling_std_20,volume_rolling_mean_20,price_change,price_change_pct,returns,volatility,volatility_pct,hour,day_of_week,month,sma_5,sma_20,ema_5,ema_20,rsi,target
2025-12-02 15:25:00,302.47,302.72,302.4,302.445,59992,IBM,2025-12-03 07:53:08.808114,302.5,51091.0,302.41,49455.0,302.82,22206.0,302.74,73624.0,303.275,73618.0,302.581,0.182770347708833,42805.8,302.5575,0.19689605266534355,48537.3,303.203325,0.8059514200289778,45316.3,-0.025000000000034106,-0.008265282507367376,-0.0001818181818181719,0.32000000000005,0.1058043611235266,15,1,12,302.581,303.203325,302.5334943337473,303.0973428877863,32.48922413793012,303.12
2025-12-02 15:30:00,302.445,303.192,302.4,303.12,58007,IBM,2025-12-03 07:53:08.808114,302.445,59992.0,302.5,51091.0,302.41,49455.0,302.73,31285.0,302.755,41003.0,302.659,0.30476220238339247,48150.2,302.594,0.26097892635161873,50237.7,303.146325,0.7666398707650813,47234.55,0.6750000000000114,0.22318107424490777,0.0022318107424490474,0.79200000000003,0.26128266033255143,15,1,12,302.659,303.146325,302.7289962224982,303.09950070799715,49.4617563739375,303.54
2025-12-02 15:35:00,303.125,303.55,303.04,303.54,72892,IBM,2025-12-03 07:53:08.808114,303.12,58007.0,302.445,59992.0,302.5,51091.0,302.82,22206.0,302.58,49291.0,302.803,0.5044997522313812,58287.4,302.69,0.3965896283729468,52597.8,303.10682499999996,0.7214636306800585,49539.7,0.41500000000002046,0.1369072164948521,0.0013855898653998278,0.5099999999999909,0.16801739474204086,15,1,12,302.803,303.10682499999996,302.99933081499887,303.1414530215212,50.88105726872294,303.5
2025-12-02 15:40:00,303.5,303.51,303.165,303.5,49178,IBM,2025-12-03 07:53:08.808114,303.54,72892.0,303.12,58007.0,302.445,59992.0,302.41,49455.0,302.345,54948.0,303.021,0.5272143776505261,58232.0,302.8055,0.44959518828943545,52020.8,303.050825,0.6362659836679738,51197.15,0.0,0.0,-0.0001317783488173907,0.34499999999997044,0.11367380560130821,15,1,12,303.021,303.050825,303.1662205433326,303.1756003528049,60.0,303.265
2025-12-02 15:45:00,303.475,303.49,303.21,303.265,54923,IBM,2025-12-03 07:53:08.808114,303.5,49178.0,303.54,72892.0,303.12,58007.0,302.5,51091.0,302.25,52478.0,303.174,0.4423997061497209,58998.4,302.90700000000004,0.42410166496008384,52265.3,303.00482500000004,0.5807912768250844,52785.65,-0.21000000000003638,-0.0691984512727692,-0.0007742998352554542,0.28000000000002956,0.09232849158327851,15,1,12,303.174,303.00482500000004,303.19914702888843,303.18411460491876,49.85875706214701,302.2
2025-12-02 15:50:00,303.3,303.4796,302.2,302.2,118054,IBM,2025-12-03 07:53:08.808114,303.265,54923.0,303.5,49178.0,303.54,72892.0,302.445,59992.0,302.74,73624.0,303.125,0.5450000000012796,70610.8,302.853,0.47860445278111596,56708.3,302.895125,0.5071232559346455,56494.95,-1.1000000000000227,-0.36267721727663127,-0.0035117801262921633,1.2796000000000163,0.42342819324950903,15,1,12,303.125,302.895125,302.86609801925897,303.0903894044503,43.20685434516512,301.83
2025-12-02 15:55:00,302.21,302.37,301.57,301.83,441275,IBM,2025-12-03 07:53:08.808114,302.2,118054.0,303.265,54923.0,303.5,49178.0,303.12,58007.0,302.73,31285.0,302.867,0.7956569612600212,147264.4,302.76300000000003,0.5784999759912779,97707.3,302.78312500000004,0.48065667457654343,77312.95,-0.37999999999999545,-0.12574037920651054,-0.0012243547319655823,0.8000000000000114,0.2650498625053876,15,1,12,302.867,302.78312500000004,302.5207320128393,302.97035231831217,41.238317757009284,301.78
2025-12-02 16:00:00,301.82,303.17,301.7025,301.78,2073486,IBM,2025-12-03 07:53:08.808114,301.83,441275.0,302.2,118054.0,303.265,54923.0,303.54,72892.0,302.82,22206.0,302.515,0.8126192220232731,547383.2,302.659,0.6554760780444849,302835.3,302.71375,0.520720338619302,177279.25,-0.040000000000020464,-0.013252932211258518,-0.00016565616406594152,1.4675000000000296,0.4862813970442142,16,1,12,302.515,302.71375,302.27382134189287,302.85698543085385,43.10134310134248,301.51
2025-12-02 16:05:00,302.98,305.67,301.51,301.51,760,IBM,2025-12-03 07:53:08.808114,301.78,2073486.0,301.83,441275.0,302.2,118054.0,303.5,49178.0,302.41,49455.0,302.11699999999996,0.6872372225090422,537699.6,302.569,0.7486313437791567,297965.8,302.61625,0.5550648966317535,175134.15,-1.4700000000000273,-0.4851805399696439,-0.0008946914971170727,4.160000000000025,1.3797220656031393,16,1,12,302.11699999999996,302.61625,302.0192142279286,302.7287011041059,41.33489461358299,302.0
2025-12-02 16:10:00,301.78,302.97,301.51,302.0,964219,IBM,2025-12-03 07:53:08.808114,301.51,760.0,301.78,2073486.0,301.83,441275.0,303.265,54923.0,302.5,51091.0,301.864,0.25735189916165585,719558.8,302.519,0.7701399584200646,389278.6,302.57975,0.5709651915827423,219589.25,0.22000000000002728,0.0729007886539954,0.0016251533945805807,1.4600000000000364,0.48344370860928354,16,1,12,301.864,302.57975,302.01280948528574,302.6593009989529,41.33489461358299,301.96
